sl,Teams,Stadium,City,State,Date,Week Day,Time
48,"Chennai Super Kings (CSK) Vs Delhi Capitals (DC)","M.A.Chidambaram Stadium","Chennai","Tamilnadu","10 May 2020","Sunday","4:00 PM"
49,"Kolkata Knight Riders (KKR) Vs Royal Challengers Bangalore (RCB)","Eden Gardens Stadium","Kolkata","WB","10 May 2020","Sunday","8:00 PM"
50,"Rajasthan Royals (RR) Vs Mumbai Indians (MI)","Sawai Mansingh Stadium","Jaipur","Rajasthan","11 May 2020","Monday","8:00 PM"
51,"Sun Risers Hyderabad (SRH) Vs Kings XI Punjab (KXIP)","R.G.I. Cricket Stadium","Hyderabad","Telangana.","12 May 2020","Tuesday","8:00 PM"
52,"Delhi Capitals (DC) Vs Rajasthan Royals (RR)","Feroz Shah Kotla Stadium","Delhi","Delhi","13 May 2020","Thursday","8:00 PM"
53,"Royal Challengers Bangalore (RCB) Vs Chennai Super Kings (CSK)","M.Chinnaswamy Stadium","Bengaluru","Karnataka.","14 May 2020","Thursday","8:00 PM"
54,"Kolkata Knight Riders (KKR) Vs Sun Risers Hyderabad (SRH)","Eden Gardens Stadium","Kolkata","WB","15 May 2020","Friday","8:00 PM"
55,"Kings XI Punjab (KXIP) Vs Delhi Capitals (DC)","PCA Stadium","Mohali","Punjab","16 May 2020","Saturday","8:00 PM"
56,"Royal Challengers Bangalore (RCB) Vs Mumbai Indians (MI)","M.Chinnaswamy Stadium","Bengaluru","Karnataka.","17 May 2020","Sunday","8:00 PM"
57,"Qualifier-1","Eden Gardens","Kolkata","West Bengal.","TBD","TBD","8:00 PM"
58,"Eliminator","M.Chinnaswamy Stadium","Bengaluru","Karnataka.","TBD","TBD","8:00 PM"
59,"Qualifier-2","M.A.Chidambaram Chepauk Stadium","Chennai","Tamilnadu.","TBD","TBD","8:00 PM"
60,"FINAL","Wankhede Stadium","Mumbai","Maharashtra","24 May 2020","Sunday","8:00 PM"
